70:70:0d:df:07:df, 1542447541, 1542448425, patricia, 884
70:70:0d:df:07:df, 1542447672, 1542448425, patricia, 753
70:70:0d:df:07:df, 1542447706, 1542448425, patricia, 719
70:70:0d:df:07:df, 1542447754, 1542448425, patricia, 671
70:70:0d:df:07:df, 1542447885, 1542448425, patricia, 540
70:70:0d:df:07:df, 1542447939, 1542448425, patricia, 486
70:70:0d:df:07:df, 1542448016, 1542448425, patricia, 409
70:70:0d:df:07:df, 1542448169, 1542448425, patricia, 256
70:70:0d:df:07:df, 1542448212, 1542448425, patricia, 213
da:a1:19:01:85:98, 1542448087, 1542448426, patricia, 339
da:a1:19:01:85:98, 1542448380, 1542448426, patricia, 46
f4:c2:48:fe:51:64, 1542447571, 1542448429, patricia, 858
f4:c2:48:fe:51:64, 1542447973, 1542448429, patricia, 456
00:a0:57:1d:d1:03, 1542447786, 1542448442, patricia, 656
00:a0:57:1d:d1:03, 1542448389, 1542448442, patricia, 53
7a:39:53:f6:23:70, 1542448479, 1542448492, patricia, 13
bc:3d:85:82:81:62, 1542447566, 1542448502, patricia, 936
14:9d:09:e5:fc:5e, 1542447510, 1542448506, patricia, 996
d4:e6:b7:00:8a:0b, 1542448546, 1542448553, patricia, 7
a4:84:31:3c:44:8b, 1542448442, 1542448573, patricia, 131
fc:3f:7c:1b:cc:6b, 1542448264, 1542448582, patricia, 318
fc:3f:7c:1b:cc:6b, 1542448310, 1542448582, patricia, 272
fc:3f:7c:1b:cc:6b, 1542448384, 1542448582, patricia, 198
fc:3f:7c:1b:cc:6b, 1542448458, 1542448582, patricia, 124
fc:3f:7c:1b:cc:6b, 1542448514, 1542448582, patricia, 68
00:00:00:02:02:02, 1542448334, 1542448592, patricia, 258
00:00:00:02:02:02, 1542448434, 1542448592, patricia, 158
90:e7:c4:c4:a5:3d, 1542448574, 1542448615, patricia, 41
5c:51:81:30:e3:d5, 1542448227, 1542448616, patricia, 389
ac:5f:3e:2e:1b:5c, 1542448363, 1542448627, patricia, 264
5c:f8:a1:45:29:04, 1542448624, 1542448633, patricia, 9
da:a1:19:89:cd:81, 1542447020, 1542448639, patricia, 1619
20:a2:e4:d6:9f:55, 1542447539, 1542448650, patricia, 1111
20:a2:e4:d6:9f:55, 1542447735, 1542448650, patricia, 915
20:a2:e4:d6:9f:55, 1542447810, 1542448650, patricia, 840
c8:19:f7:90:d9:db, 1542448614, 1542448656, patricia, 42
60:f8:1d:1d:19:a0, 1542448109, 1542448691, patricia, 582
60:f8:1d:1d:19:a0, 1542448357, 1542448691, patricia, 334
60:f8:1d:1d:19:a0, 1542448587, 1542448691, patricia, 104
88:bd:45:08:a5:13, 1542448684, 1542448694, patricia, 10
aa:f3:a9:c0:88:83, 1542448560, 1542448694, patricia, 134
c8:d7:b0:ce:dc:a0, 1542448197, 1542448696, patricia, 499
c8:d7:b0:ce:dc:a0, 1542448322, 1542448696, patricia, 374
fc:3f:7c:1b:cc:6b, 1542448614, 1542448707, patricia, 93
e0:aa:96:2b:9b:a0, 1542448663, 1542448734, patricia, 71
e0:aa:96:2b:9b:a0, 1542448703, 1542448734, patricia, 31
00:a0:57:1d:d1:03, 1542448511, 1542448746, patricia, 235
00:a0:57:1d:d1:03, 1542448723, 1542448746, patricia, 23
92:6c:72:45:b8:f8, 1542448715, 1542448805, patricia, 90
00:00:00:02:02:02, 1542448687, 1542448814, patricia, 127
00:00:00:02:02:02, 1542448727, 1542448814, patricia, 87
00:00:00:02:02:02, 1542448779, 1542448814, patricia, 35
4c:dd:31:22:8a:c0, 1542448308, 1542448815, patricia, 507
96:27:9c:e4:cc:cd, 1542448727, 1542448818, patricia, 91
fc:3f:7c:1b:cc:6b, 1542448737, 1542448827, patricia, 90
fe:7a:72:ca:70:c5, 1542448694, 1542448829, patricia, 135
da:a1:19:01:85:98, 1542448813, 1542448836, patricia, 23
6c:c7:ec:2c:f6:0a, 1542447662, 1542448864, patricia, 1202
6c:c7:ec:2c:f6:0a, 1542448094, 1542448864, patricia, 770
6c:c7:ec:2c:f6:0a, 1542448756, 1542448864, patricia, 108
da:a1:19:9a:24:cc, 1542448687, 1542448867, patricia, 180
40:40:a7:2b:6c:30, 1542447485, 1542448871, patricia, 1386
40:40:a7:2b:6c:30, 1542447548, 1542448871, patricia, 1323
40:40:a7:2b:6c:30, 1542447710, 1542448871, patricia, 1161
2c:0e:3d:e1:a5:e0, 1542448759, 1542448879, patricia, 120
00:5a:13:b4:21:9e, 1542447593, 1542448885, patricia, 1292
00:5a:13:b4:21:9e, 1542447699, 1542448885, patricia, 1186
00:5a:13:b4:21:9e, 1542447893, 1542448885, patricia, 992
00:5a:13:b4:21:9e, 1542448115, 1542448885, patricia, 770
00:5a:13:b4:21:9e, 1542448208, 1542448885, patricia, 677
00:5a:13:b4:21:9e, 1542448823, 1542448885, patricia, 62
fc:3f:7c:1b:cc:6b, 1542448862, 1542448910, patricia, 48
4c:66:41:7b:c0:b6, 1542448870, 1542448921, patricia, 51
84:8e:df:e2:df:ce, 1542447546, 1542448923, patricia, 1377
84:8e:df:e2:df:ce, 1542447583, 1542448923, patricia, 1340
84:8e:df:e2:df:ce, 1542447683, 1542448923, patricia, 1240
1c:67:58:81:97:b5, 1542448236, 1542448932, patricia, 696
1c:67:58:81:97:b5, 1542448802, 1542448932, patricia, 130
00:00:00:02:02:02, 1542448893, 1542448941, patricia, 48
84:be:52:41:9e:89, 1542448315, 1542448942, patricia, 627
84:be:52:41:9e:89, 1542448439, 1542448942, patricia, 503
84:be:52:41:9e:89, 1542448772, 1542448942, patricia, 170
84:be:52:41:9e:89, 1542448827, 1542448942, patricia, 115
88:83:22:7b:c9:84, 1542448893, 1542448943, patricia, 50
fc:3f:7c:1b:cc:6b, 1542448939, 1542448956, patricia, 17
02:a0:57:24:45:ae, 1542448460, 1542448961, patricia, 501
00:00:00:02:02:02, 1542448947, 1542448975, patricia, 28
86:09:15:6f:bc:a2, 1542448896, 1542448986, patricia, 90
f4:0e:22:c4:1a:e5, 1542448865, 1542448986, patricia, 121
7a:39:53:f6:23:70, 1542448957, 1542449002, patricia, 45
00:a0:57:1d:d1:03, 1542448981, 1542449004, patricia, 23
cc:61:e5:13:01:ff, 1542448497, 1542449020, patricia, 523
cc:61:e5:13:01:ff, 1542448668, 1542449020, patricia, 352
cc:61:e5:13:01:ff, 1542448957, 1542449020, patricia, 63
d0:b1:28:0d:ae:09, 1542448110, 1542449042, patricia, 932
c8:19:f7:90:d9:db, 1542449047, 1542449053, patricia, 6
c0:ee:fb:f9:10:1c, 1542448861, 1542449056, patricia, 195
c0:ee:fb:f9:10:1c, 1542448920, 1542449056, patricia, 136
fc:3f:7c:1b:cc:6b, 1542448997, 1542449069, patricia, 72
24:92:0e:80:ff:7c, 1542448553, 1542449074, patricia, 521
24:92:0e:80:ff:7c, 1542449029, 1542449074, patricia, 45
a2:32:d1:7a:96:7a, 1542448731, 1542449076, patricia, 345
08:c5:e1:e7:75:50, 1542448000, 1542449109, patricia, 1109
08:c5:e1:e7:75:50, 1542448123, 1542449109, patricia, 986
08:c5:e1:e7:75:50, 1542448184, 1542449109, patricia, 925
08:c5:e1:e7:75:50, 1542448440, 1542449109, patricia, 669
00:00:00:02:02:02, 1542448993, 1542449126, patricia, 133
d4:e6:b7:00:8a:0b, 1542448666, 1542449130, patricia, 464
d4:a3:3d:da:32:8b, 1542449104, 1542449138, patricia, 34
c0:ee:fb:6c:1a:c6, 1542447942, 1542449154, patricia, 1212
8c:f5:a3:1f:b5:b3, 1542448978, 1542449196, patricia, 218
d4:e6:b7:00:8a:0b, 1542449169, 1542449202, patricia, 33
00:a0:57:1d:d1:03, 1542449150, 1542449203, patricia, 53
7a:39:53:f6:23:70, 1542449163, 1542449208, patricia, 45
84:9f:b5:0c:c5:d3, 1542449118, 1542449221, patricia, 103
48:27:ea:7e:06:86, 1542447853, 1542449237, patricia, 1384
48:27:ea:7e:06:86, 1542447901, 1542449237, patricia, 1336
48:27:ea:7e:06:86, 1542447958, 1542449237, patricia, 1279
d4:76:ea:09:3b:2d, 1542449224, 1542449238, patricia, 14
84:8e:df:6e:52:b9, 1542448026, 1542449257, patricia, 1231
84:8e:df:6e:52:b9, 1542448149, 1542449257, patricia, 1108
84:8e:df:6e:52:b9, 1542448581, 1542449257, patricia, 676
84:8e:df:6e:52:b9, 1542448643, 1542449257, patricia, 614
1c:cb:99:c9:25:2a, 1542447832, 1542449268, patricia, 1436
1c:cb:99:c9:25:2a, 1542449074, 1542449268, patricia, 194
1c:cb:99:c9:25:2a, 1542449127, 1542449268, patricia, 141
00:00:00:02:02:02, 1542449203, 1542449292, patricia, 89
00:00:00:02:02:02, 1542449303, 1542449342, patricia, 39
94:fe:22:60:01:85, 1542448132, 1542449357, patricia, 1225
94:fe:22:60:01:85, 1542448187, 1542449357, patricia, 1170
94:fe:22:60:01:85, 1542448267, 1542449357, patricia, 1090
94:fe:22:60:01:85, 1542448384, 1542449357, patricia, 973
94:fe:22:60:01:85, 1542448420, 1542449357, patricia, 937
94:fe:22:60:01:85, 1542448592, 1542449357, patricia, 765
94:fe:22:60:01:85, 1542448660, 1542449357, patricia, 697
94:fe:22:60:01:85, 1542448749, 1542449357, patricia, 608
94:fe:22:60:01:85, 1542449056, 1542449357, patricia, 301
c0:25:06:df:8a:cc, 1542448078, 1542449368, patricia, 1290
c0:25:06:df:8a:cc, 1542448866, 1542449368, patricia, 502
9c:f4:8e:78:5a:53, 1542449335, 1542449383, patricia, 48
a4:93:3f:b9:65:41, 1542448792, 1542449395, patricia, 603
7c:39:53:a8:36:d2, 1542449224, 1542449409, patricia, 185
7c:39:53:a8:36:d2, 1542449285, 1542449409, patricia, 124
78:00:9e:33:5a:30, 1542448752, 1542449410, patricia, 658
78:00:9e:33:5a:30, 1542448912, 1542449410, patricia, 498
80:58:f8:2f:21:44, 1542449236, 1542449422, patricia, 186
80:58:f8:2f:21:44, 1542449298, 1542449422, patricia, 124
d4:76:ea:09:3b:2d, 1542449417, 1542449447, patricia, 30
78:c3:e9:ac:75:b4, 1542449092, 1542449458, patricia, 366
78:c3:e9:ac:75:b4, 1542449275, 1542449458, patricia, 183
00:a0:57:1d:d1:03, 1542449373, 1542449461, patricia, 88
64:a2:f9:4c:00:9b, 1542449406, 1542449463, patricia, 57
7c:39:53:a8:36:d2, 1542449429, 1542449465, patricia, 36
24:da:9b:62:36:52, 1542449209, 1542449468, patricia, 259
90:68:c3:8f:5d:1f, 1542449325, 1542449480, patricia, 155
9c:6c:15:96:f2:60, 1542449437, 1542449496, patricia, 59
40:88:05:4b:43:b7, 1542448836, 1542449500, patricia, 664
40:88:05:4b:43:b7, 1542448921, 1542449500, patricia, 579
40:88:05:4b:43:b7, 1542449405, 1542449500, patricia, 95
40:88:05:4b:43:b7, 1542449459, 1542449500, patricia, 41
90:b9:31:cc:6d:16, 1542449419, 1542449569, patricia, 150
74:d2:1d:c1:fa:e3, 1542448052, 1542449603, patricia, 1551
74:d2:1d:c1:fa:e3, 1542448552, 1542449603, patricia, 1051
74:d2:1d:c1:fa:e3, 1542448690, 1542449603, patricia, 913
dc:bf:e9:a7:ee:65, 1542449564, 1542449609, patricia, 45
94:65:2d:7b:77:de, 1542449118, 1542449613, patricia, 495
94:65:2d:7b:77:de, 1542449446, 1542449613, patricia, 167
94:65:2d:7b:77:de, 1542449485, 1542449613, patricia, 128
94:65:2d:7b:77:de, 1542449593, 1542449613, patricia, 20
d0:60:8c:25:4a:2e, 1542448148, 1542449618, patricia, 1470
d0:60:8c:25:4a:2e, 1542448247, 1542449618, patricia, 1371
d0:60:8c:25:4a:2e, 1542448304, 1542449618, patricia, 1314
d0:60:8c:25:4a:2e, 1542448335, 1542449618, patricia, 1283
d0:60:8c:25:4a:2e, 1542448368, 1542449618, patricia, 1250
d0:60:8c:25:4a:2e, 1542448439, 1542449618, patricia, 1179
d0:60:8c:25:4a:2e, 1542448500, 1542449618, patricia, 1118
d0:60:8c:25:4a:2e, 1542448626, 1542449618, patricia, 992
d0:60:8c:25:4a:2e, 1542448678, 1542449618, patricia, 940
d0:60:8c:25:4a:2e, 1542448758, 1542449618, patricia, 860
d0:60:8c:25:4a:2e, 1542448877, 1542449618, patricia, 741
d0:60:8c:25:4a:2e, 1542448976, 1542449618, patricia, 642
d0:60:8c:25:4a:2e, 1542449012, 1542449618, patricia, 606
d0:60:8c:25:4a:2e, 1542449221, 1542449618, patricia, 397
d0:60:8c:25:4a:2e, 1542449368, 1542449618, patricia, 250
d0:60:8c:25:4a:2e, 1542449401, 1542449618, patricia, 217
d0:60:8c:25:4a:2e, 1542449515, 1542449618, patricia, 103
70:70:0d:df:07:df, 1542448430, 1542449640, patricia, 1210
70:70:0d:df:07:df, 1542448870, 1542449640, patricia, 770
70:70:0d:df:07:df, 1542449020, 1542449640, patricia, 620
70:70:0d:df:07:df, 1542449215, 1542449640, patricia, 425
70:70:0d:df:07:df, 1542449338, 1542449640, patricia, 302
70:70:0d:df:07:df, 1542449414, 1542449640, patricia, 226
70:70:0d:df:07:df, 1542449583, 1542449640, patricia, 57
b8:08:d7:3b:c1:43, 1542449549, 1542449704, patricia, 155
82:20:21:52:38:08, 1542449412, 1542449715, patricia, 303
a8:81:95:60:eb:d2, 1542449605, 1542449731, patricia, 126
fc:2a:9c:78:bd:8c, 1542448054, 1542449733, patricia, 1679
fc:2a:9c:78:bd:8c, 1542448084, 1542449733, patricia, 1649
fc:2a:9c:78:bd:8c, 1542448124, 1542449733, patricia, 1609
fc:2a:9c:78:bd:8c, 1542448179, 1542449733, patricia, 1554
fc:2a:9c:78:bd:8c, 1542449052, 1542449733, patricia, 681
fc:2a:9c:78:bd:8c, 1542449532, 1542449733, patricia, 201
fc:2a:9c:78:bd:8c, 1542449655, 1542449733, patricia, 78
00:a0:57:1d:d1:03, 1542449726, 1542449737, patricia, 11
d4:38:9c:c4:94:22, 1542449613, 1542449750, patricia, 137
d4:38:9c:c4:94:22, 1542449646, 1542449750, patricia, 104
fc:3f:7c:1b:cc:6b, 1542449215, 1542449758, patricia, 543
fc:3f:7c:1b:cc:6b, 1542449304, 1542449758, patricia, 454
fc:3f:7c:1b:cc:6b, 1542449436, 1542449758, patricia, 322
fc:3f:7c:1b:cc:6b, 1542449494, 1542449758, patricia, 264
fc:3f:7c:1b:cc:6b, 1542449560, 1542449758, patricia, 198
